force,pwm
-1.0,1176
-0.99,1178
-0.98,1180
-0.97,1181
-0.96,1183
-0.95,1185
-0.94,1186
-0.93,1188
-0.92,1189
-0.91,1191
-0.9,1192
-0.89,1195
-0.88,1197
-0.87,1199
-0.86,1201
-0.85,1202
-0.84,1205
-0.83,1208
-0.82,1210
-0.81,1212
-0.8,1214
-0.79,1216
-0.78,1219
-0.77,1221
-0.76,1223
-0.75,1226
-0.74,1228
-0.73,1231
-0.72,1233
-0.71,1235
-0.7,1238
-0.69,1240
-0.68,1244
-0.67,1246
-0.66,1247
-0.65,1251
-0.64,1254
-0.63,1257
-0.62,1259
-0.61,1261
-0.6,1263
-0.59,1267
-0.58,1269
-0.57,1271
-0.56,1274
-0.55,1276
-0.54,1278
-0.53,1280
-0.52,1283
-0.51,1286
-0.5,1289
-0.49,1291
-0.48,1294
-0.47,1297
-0.46,1299
-0.45,1303
-0.44,1306
-0.43,1308
-0.42,1311
-0.41,1314
-0.4,1317
-0.39,1320
-0.38,1322
-0.37,1325
-0.36,1328
-0.35,1330
-0.34,1334
-0.33,1337
-0.32,1339
-0.31,1344
-0.3,1347
-0.29,1351
-0.28,1354
-0.27,1358
-0.26,1362
-0.25,1365
-0.24,1368
-0.23,1371
-0.22,1376
-0.21,1379
-0.2,1384
-0.19,1388
-0.18,1392
-0.17,1395
-0.16,1399
-0.15,1403
-0.14,1407
-0.13,1412
-0.12,1416
-0.11,1421
-0.1,1425
-0.09,1429
-0.08,1433
-0.07,1438
-0.06,1443
-0.05,1447
-0.04,1453
-0.03,1459
-0.02,1468
-0.01,1490
0.0,1512
0.01,1532
0.02,1539
0.03,1544
0.04,1549
0.05,1553
0.06,1557
0.07,1561
0.08,1564
0.09,1568
0.1,1572
0.11,1576
0.12,1580
0.13,1583
0.14,1587
0.15,1590
0.16,1594
0.17,1597
0.18,1600
0.19,1604
0.2,1608
0.21,1610
0.22,1613
0.23,1617
0.24,1620
0.25,1624
0.26,1627
0.27,1630
0.28,1633
0.29,1635
0.3,1638
0.31,1640
0.32,1643
0.33,1646
0.34,1648
0.35,1652
0.36,1654
0.37,1657
0.38,1660
0.39,1662
0.4,1665
0.41,1668
0.42,1670
0.43,1672
0.44,1675
0.45,1677
0.46,1680
0.47,1681
0.48,1683
0.49,1685
0.5,1688
0.51,1690
0.52,1693
0.53,1696
0.54,1697
0.55,1699
0.56,1702
0.57,1704
0.58,1706
0.59,1708
0.6,1712
0.61,1713
0.62,1715
0.63,1717
0.64,1720
0.65,1722
0.66,1724
0.67,1726
0.68,1727
0.69,1729
0.7,1731
0.71,1733
0.72,1735
0.73,1737
0.74,1738
0.75,1740
0.76,1743
0.77,1745
0.78,1746
0.79,1747
0.8,1750
0.81,1752
0.82,1754
0.83,1756
0.84,1758
0.85,1760
0.86,1762
0.87,1764
0.88,1765
0.89,1767
0.9,1769
0.91,1772
0.92,1774
0.93,1776
0.94,1778
0.95,1780
0.96,1781
0.97,1782
0.98,1784
0.99,1786
1.0,1788
